CWE-ID,Name,Weakness Abstraction,Status,Description
117,Improper Output Neutralization for Logs,Base,Draft,The software does not neutralize or incorrectly neutralizes output that is written to logs.
120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),Base,Incomplete,"The program copies an input buffer to an output buffer without verifying that the size of the input buffer is less than the size of the output buffer, leading to a buffer overflow."
123,Write-what-where Condition,Base,Draft,"Any condition where the attacker has the ability to write an arbitrary value to an arbitrary location, often as the result of a buffer overflow."
124,Buffer Underwrite ('Buffer Underflow'),Base,Incomplete,The software writes to a buffer using an index or pointer that references a memory location prior to the beginning of the buffer.
125,Out-of-bounds Read,Base,Draft,"The software reads data past the end, or before the beginning, of the intended buffer."
128,Wrap-around Error,Base,Incomplete,"Wrap around errors occur whenever a value is incremented past the maximum value for its type and therefore wraps around to a very small, negative, or undefined value."
129,Improper Validation of Array Index,Variant,Draft,"The product uses untrusted input when calculating or using an array index, but the product does not validate or incorrectly validates the index to ensure the index references a valid position within the array."
130,Improper Handling of Length Parameter Inconsistency,Base,Incomplete,"The software parses a formatted message or structure, but it does not handle or incorrectly handles a length field that is inconsistent with the actual length of the associated data."
131,Incorrect Calculation of Buffer Size,Base,Draft,"The software does not correctly calculate the size to be used when allocating a buffer, which could lead to a buffer overflow."
134,Use of Externally-Controlled Format String,Base,Draft,"The software uses a function that accepts a format string as an argument, but the format string originates from an external source."
135,Incorrect Calculation of Multi-Byte String Length,Base,Draft,The software does not correctly calculate the length of strings that can contain wide or multi-byte characters.
140,Improper Neutralization of Delimiters,Base,Draft,The software does not neutralize or incorrectly neutralizes delimiters.
166,Improper Handling of Missing Special Element,Base,Draft,"The software receives input from an upstream component, but it does not handle or incorrectly handles when an expected special element is missing."
167,Improper Handling of Additional Special Element,Base,Draft,"The software receives input from an upstream component, but it does not handle or incorrectly handles when an additional unexpected special element is provided."
168,Improper Handling of Inconsistent Special Elements,Base,Draft,The software does not properly handle input in which an inconsistency exists between two or more special characters or reserved words.
170,Improper Null Termination,Base,Incomplete,The software does not terminate or incorrectly terminates a string or array with a null character or equivalent terminator.
178,Improper Handling of Case Sensitivity,Base,Incomplete,"The software does not properly account for differences in case sensitivity when accessing or determining the properties of a resource, leading to inconsistent results."
179,Incorrect Behavior Order: Early Validation,Base,Incomplete,"The software validates input before applying protection mechanisms that modify the input, which could allow an attacker to bypass the validation via dangerous inputs that only arise after the modification."
182,Collapse of Data into Unsafe Value,Base,Draft,The software filters data in a way that causes it to be reduced or collapsed into an unsafe value that violates an expected security property.
183,Permissive List of Allowed Inputs,Base,Draft,"The product implements a protection mechanism that relies on a list of inputs (or properties of inputs) that are explicitly allowed by policy because the inputs are assumed to be safe, but the list is too permissive - that is, it allows an input that is unsafe, leading to resultant weaknesses."
184,Incomplete List of Disallowed Inputs,Base,Draft,"The product implements a protection mechanism that relies on a list of inputs (or properties of inputs) that are not allowed by policy or otherwise require other action to neutralize before additional processing takes place, but the list is incomplete, leading to resultant weaknesses."
186,Overly Restrictive Regular Expression,Base,Draft,"A regular expression is overly restrictive, which prevents dangerous values from being detected."
188,Reliance on Data/Memory Layout,Base,Draft,"The software makes invalid assumptions about how protocol data or memory is organized at a lower level, resulting in unintended program behavior."
190,Integer Overflow or Wraparound,Base,Stable,"The software performs a calculation that can produce an integer overflow or wraparound, when the logic assumes that the resulting value will always be larger than the original value. This can introduce other weaknesses when the calculation is used for resource management or execution control."
191,Integer Underflow (Wrap or Wraparound),Base,Draft,"The product subtracts one value from another, such that the result is less than the minimum allowable integer value, which produces a value that is not equal to the correct result."
192,Integer Coercion Error,Variant,Incomplete,"Integer coercion refers to a set of flaws pertaining to the type casting, extension, or truncation of primitive data types."
193,Off-by-one Error,Base,Draft,"A product calculates or uses an incorrect maximum or minimum value that is 1 more, or 1 less, than the correct value."
197,Numeric Truncation Error,Base,Incomplete,Truncation errors occur when a primitive is cast to a primitive of a smaller size and data is lost in the conversion.
198,Use of Incorrect Byte Ordering,Base,Draft,"The software receives input from an upstream component, but it does not account for byte ordering (e.g. big-endian and little-endian) when processing the input, causing an incorrect number or value to be used."
201,Insertion of Sensitive Information Into Sent Data,Base,Draft,"The code transmits data to another actor, but a portion of the data includes sensitive information that should not be accessible to that actor."
204,Observable Response Discrepancy,Base,Incomplete,The product provides different responses to incoming requests in a way that reveals internal state information to an unauthorized actor outside of the intended control sphere.
205,Observable Behavioral Discrepancy,Base,Incomplete,"The product's behaviors indicate important differences that may be observed by unauthorized actors in a way that reveals (1) its internal state or decision process, or (2) differences from other products with equivalent functionality."
208,Observable Timing Discrepancy,Base,Incomplete,"Two separate operations in a product require different amounts of time to complete, in a way that is observable to an actor and reveals security-relevant information about the state of the product, such as whether a particular operation was successful or not."
209,Generation of Error Message Containing Sensitive Information,Base,Draft,"The software generates an error message that includes sensitive information about its environment, users, or associated data."
212,Improper Removal of Sensitive Information Before Storage or Transfer,Base,Incomplete,"The product stores, transfers, or shares a resource that contains sensitive information, but it does not properly remove that information before the product makes the resource available to unauthorized actors."
213,Exposure of Sensitive Information Due to Incompatible Policies,Base,Draft,"The product's intended functionality exposes information to certain actors in accordance with the developer's security policy, but this information is regarded as sensitive according to the intended security policies of other stakeholders such as the product's administrator, users, or others whose information is being processed."
214,Invocation of Process Using Visible Sensitive Information,Base,Incomplete,"A process is invoked with sensitive command-line arguments, environment variables, or other elements that can be seen by other processes on the operating system."
215,Insertion of Sensitive Information Into Debugging Code,Base,Draft,"The application inserts sensitive information into debugging code, which could expose this information if the debugging code is not disabled in production."
222,Truncation of Security-relevant Information,Base,Draft,"The application truncates the display, recording, or processing of security-relevant information in a way that can obscure the source or nature of an attack."
223,Omission of Security-relevant Information,Base,Draft,"The application does not record or display information that would be important for identifying the source or nature of an attack, or determining if an action is safe."
224,Obscured Security-relevant Information by Alternate Name,Base,Incomplete,"The software records security-relevant information according to an alternate name of the affected entity, instead of the canonical name."
226,Sensitive Information in Resource Not Removed Before Reuse,Base,Draft,"When a device releases a resource such as memory or a file for reuse by other entities, information contained in the resource is not fully cleared prior to reuse of the resource."
229,Improper Handling of Values,Base,Incomplete,"The software does not properly handle when the expected number of values for parameters, fields, or arguments is not provided in input, or if those values are undefined."
233,Improper Handling of Parameters,Base,Incomplete,"The software does not properly handle when the expected number of parameters, fields, or arguments is not provided in input, or if those parameters are undefined."
237,Improper Handling of Structural Elements,Base,Incomplete,The software does not handle or incorrectly handles inputs that are related to complex structures.
241,Improper Handling of Unexpected Data Type,Base,Draft,"The software does not handle or incorrectly handles when a particular element is not the expected type, e.g. it expects a digit (0-9) but is provided with a letter (A-Z)."
242,Use of Inherently Dangerous Function,Base,Draft,The program calls a function that can never be guaranteed to work safely.
243,Creation of chroot Jail Without Changing Working Directory,Variant,Draft,"The program uses the chroot() system call to create a jail, but does not change the working directory afterward. This does not prevent access to files outside of the jail."
248,Uncaught Exception,Base,Draft,"An exception is thrown from a function, but it is not caught."
250,Execution with Unnecessary Privileges,Base,Draft,"The software performs an operation at a privilege level that is higher than the minimum level required, which creates new weaknesses or amplifies the consequences of other weaknesses."
252,Unchecked Return Value,Base,Draft,"The software does not check the return value from a method or function, which can prevent it from detecting unexpected states and conditions."
253,Incorrect Check of Function Return Value,Base,Incomplete,"The software incorrectly checks a return value from a function, which prevents the software from detecting errors or exceptional conditions."
256,Unprotected Storage of Credentials,Base,Incomplete,Storing a password in plaintext may result in a system compromise.
257,Storing Passwords in a Recoverable Format,Base,Incomplete,"The storage of passwords in a recoverable format makes them subject to password reuse attacks by malicious users. In fact, it should be noted that recoverable encrypted passwords provide no significant benefit over plaintext passwords since they are subject not only to reuse by malicious attackers but also by malicious insiders. If a system administrator can recover a password directly, or use a brute force search on the available information, the administrator can use the password on other accounts."
260,Password in Configuration File,Base,Incomplete,The software stores a password in a configuration file that might be accessible to actors who do not know the password.
261,Weak Encoding for Password,Base,Incomplete,Obscuring a password with a trivial encoding does not protect the password.
262,Not Using Password Aging,Base,Draft,"If no mechanism is in place for managing password aging, users will have no incentive to update passwords in a timely manner."
263,Password Aging with Long Expiration,Base,Draft,Allowing password aging to occur unchecked can result in the possibility of diminished password integrity.
266,Incorrect Privilege Assignment,Base,Draft,"A product incorrectly assigns a privilege to a particular actor, creating an unintended sphere of control for that actor."
267,Privilege Defined With Unsafe Actions,Base,Incomplete,"A particular privilege, role, capability, or right can be used to perform unsafe actions that were not intended, even when it is assigned to the correct entity."
268,Privilege Chaining,Base,Draft,"Two distinct privileges, roles, capabilities, or rights can be combined in a way that allows an entity to perform unsafe actions that would not be allowed without that combination."
270,Privilege Context Switching Error,Base,Draft,The software does not properly manage privileges while it is switching between different contexts that have different privileges or spheres of control.
272,Least Privilege Violation,Base,Incomplete,The elevated privilege level required to perform operations such as chroot() should be dropped immediately after the operation is performed.
273,Improper Check for Dropped Privileges,Base,Incomplete,The software attempts to drop privileges but does not check or incorrectly checks to see if the drop succeeded.
274,Improper Handling of Insufficient Privileges,Base,Draft,"The software does not handle or incorrectly handles when it has insufficient privileges to perform an operation, leading to resultant weaknesses."
276,Incorrect Default Permissions,Base,Draft,"During installation, installed file permissions are set to allow anyone to modify those files."
277,Insecure Inherited Permissions,Variant,Draft,A product defines a set of insecure permissions that are inherited by objects that are created by the program.
278,Insecure Preserved Inherited Permissions,Variant,Incomplete,"A product inherits a set of insecure permissions for an object, e.g. when copying from an archive file, without user awareness or involvement."
279,Incorrect Execution-Assigned Permissions,Variant,Draft,"While it is executing, the software sets the permissions of an object in a way that violates the intended permissions that have been specified by the user."
280,Improper Handling of Insufficient Permissions or Privileges ,Base,Draft,The application does not handle or incorrectly handles when it has insufficient privileges to access resources or functionality as specified by their permissions. This may cause it to follow unexpected code paths that may leave the application in an invalid state.
281,Improper Preservation of Permissions,Base,Draft,"The software does not preserve permissions or incorrectly preserves permissions when copying, restoring, or sharing objects, which can cause them to have less restrictive permissions than intended."
283,Unverified Ownership,Base,Draft,The software does not properly verify that a critical resource is owned by the proper entity.
288,Authentication Bypass Using an Alternate Path or Channel,Base,Incomplete,"A product requires authentication, but the product has an alternate path or channel that does not require authentication."
290,Authentication Bypass by Spoofing,Base,Incomplete,This attack-focused weakness is caused by improperly implemented authentication schemes that are subject to spoofing attacks.
294,Authentication Bypass by Capture-replay,Base,Incomplete,A capture-replay flaw exists when the design of the software makes it possible for a malicious user to sniff network traffic and bypass authentication by replaying it to the server in question to the same effect as the original message (or with minor changes).
295,Improper Certificate Validation,Base,Draft,"The software does not validate, or incorrectly validates, a certificate."
296,Improper Following of a Certificate's Chain of Trust,Base,Draft,"The software does not follow, or incorrectly follows, the chain of trust for a certificate back to a trusted root certificate, resulting in incorrect trust of any resource that is associated with that certificate."
299,Improper Check for Certificate Revocation,Base,Draft,"The software does not check or incorrectly checks the revocation status of a certificate, which may cause it to use a certificate that has been compromised."
303,Incorrect Implementation of Authentication Algorithm,Base,Draft,"The requirements for the software dictate the use of an established authentication algorithm, but the implementation of the algorithm is incorrect."
304,Missing Critical Step in Authentication,Base,Draft,"The software implements an authentication technique, but it skips a step that weakens the technique."
305,Authentication Bypass by Primary Weakness,Base,Draft,"The authentication algorithm is sound, but the implemented mechanism can be bypassed as the result of a separate weakness that is primary to the authentication error."
306,Missing Authentication for Critical Function,Base,Draft,The software does not perform any authentication for functionality that requires a provable user identity or consumes a significant amount of resources.
307,Improper Restriction of Excessive Authentication Attempts,Base,Draft,"The software does not implement sufficient measures to prevent multiple failed authentication attempts within in a short time frame, making it more susceptible to brute force attacks."
308,Use of Single-factor Authentication,Base,Draft,The use of single-factor authentication can lead to unnecessary risk of compromise when compared with the benefits of a dual-factor authentication scheme.
309,Use of Password System for Primary Authentication,Base,Draft,"The use of password systems as the primary means of authentication may be subject to several flaws or shortcomings, each reducing the effectiveness of the mechanism."
312,Cleartext Storage of Sensitive Information,Base,Draft,The application stores sensitive information in cleartext within a resource that might be accessible to another control sphere.
317,Cleartext Storage of Sensitive Information in GUI,Variant,Draft,The application stores sensitive information in cleartext within the GUI.
319,Cleartext Transmission of Sensitive Information,Base,Draft,The software transmits sensitive or security-critical data in cleartext in a communication channel that can be sniffed by unauthorized actors.
321,Use of Hard-coded Cryptographic Key,Variant,Draft,The use of a hard-coded cryptographic key significantly increases the possibility that encrypted data may be recovered.
322,Key Exchange without Entity Authentication,Base,Draft,The software performs a key exchange with an actor without verifying the identity of that actor.
323,"Reusing a Nonce, Key Pair in Encryption",Variant,Incomplete,Nonces should be used for the present occasion and only once.
324,Use of a Key Past its Expiration Date,Base,Draft,"The product uses a cryptographic key or password past its expiration date, which diminishes its safety significantly by increasing the timing window for cracking attacks against that key."
325,Missing Cryptographic Step,Base,Draft,"The product does not implement a required step in a cryptographic algorithm, resulting in weaker encryption than advertised by the algorithm."
328,Reversible One-Way Hash,Base,Draft,"The product uses a hashing algorithm that produces a hash value that can be used to determine the original input, or to find an input that can produce the same hash, more efficiently than brute force techniques."
331,Insufficient Entropy,Base,Draft,"The software uses an algorithm or scheme that produces insufficient entropy, leaving patterns or clusters of values that are more likely to occur than others."
334,Small Space of Random Values,Base,Draft,"The number of possible random values is smaller than needed by the product, making it more susceptible to brute force attacks."
335,Incorrect Usage of Seeds in Pseudo-Random Number Generator (PRNG),Base,Draft,The software uses a Pseudo-Random Number Generator (PRNG) that does not correctly manage seeds.
338,Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG),Base,Draft,"The product uses a Pseudo-Random Number Generator (PRNG) in a security context, but the PRNG's algorithm is not cryptographically strong."
341,Predictable from Observable State,Base,Draft,"A number or object is predictable based on observations that the attacker can make about the state of the system or network, such as time, process ID, etc."
342,Predictable Exact Value from Previous Values,Base,Draft,An exact value or random number can be precisely predicted by observing previous values.
343,Predictable Value Range from Previous Values,Base,Draft,"The software's random number generator produces a series of values which, when observed, can be used to infer a relatively small range of possibilities for the next value that could be generated."
346,Origin Validation Error,Base,Draft,The software does not properly verify that the source of data or communication is valid.
347,Improper Verification of Cryptographic Signature,Base,Draft,"The software does not verify, or incorrectly verifies, the cryptographic signature for data."
348,Use of Less Trusted Source,Base,Draft,"The software has two different sources of the same data or information, but it uses the source that has less support for verification, is less trusted, or is less resistant to attack."
349,Acceptance of Extraneous Untrusted Data With Trusted Data,Base,Draft,"The software, when processing trusted data, accepts any untrusted data that is also included with the trusted data, treating the untrusted data as if it were trusted."
351,Insufficient Type Distinction,Base,Draft,The software does not properly distinguish between different types of elements in a way that leads to insecure behavior.
353,Missing Support for Integrity Check,Base,Draft,"The software uses a transmission protocol that does not include a mechanism for verifying the integrity of the data during transmission, such as a checksum."
354,Improper Validation of Integrity Check Value,Base,Draft,The software does not validate or incorrectly validates the integrity check values or checksums of a message. This may prevent it from detecting if the data has been modified or corrupted in transmission.
356,Product UI does not Warn User of Unsafe Actions,Base,Incomplete,The software's user interface does not warn the user before undertaking an unsafe action on behalf of that user. This makes it easier for attackers to trick users into inflicting damage to their system.
357,Insufficient UI Warning of Dangerous Operations,Base,Draft,"The user interface provides a warning to a user regarding dangerous or sensitive operations, but the warning is not noticeable enough to warrant attention."
359,Exposure of Private Personal Information to an Unauthorized Actor,Base,Incomplete,"The product does not properly prevent a person's private, personal information from being accessed by actors who either (1) are not explicitly authorized to access the information or (2) do not have the implicit consent of the person about whom the information is collected."
363,Race Condition Enabling Link Following,Base,Draft,"The software checks the status of a file or directory before accessing it, which produces a race condition in which the file can be replaced with a link before the access is performed, causing the software to access the wrong file."
364,Signal Handler Race Condition,Base,Incomplete,The software uses a signal handler that introduces a race condition.
365,Race Condition in Switch,Base,Draft,"The code contains a switch statement in which the switched variable can be modified while the switch is still executing, resulting in unexpected behavior."
366,Race Condition within a Thread,Base,Draft,"If two threads of execution use a resource simultaneously, there exists the possibility that resources may be used while invalid, in turn making the state of execution undefined."
367,Time-of-check Time-of-use (TOCTOU) Race Condition,Base,Incomplete,"The software checks the state of a resource before using that resource, but the resource's state can change between the check and the use in a way that invalidates the results of the check. This can cause the software to perform invalid actions when the resource is in an unexpected state."
368,Context Switching Race Condition,Base,Draft,"A product performs a series of non-atomic actions to switch between contexts that cross privilege or other security boundaries, but a race condition allows an attacker to modify or misrepresent the product's behavior during the switch."
369,Divide By Zero,Base,Draft,The product divides a value by zero.
372,Incomplete Internal State Distinction,Base,Draft,"The software does not properly determine which state it is in, causing it to assume it is in state X when in fact it is in state Y, causing it to perform incorrect operations in a security-relevant manner."
374,Passing Mutable Objects to an Untrusted Method,Base,Draft,The program sends non-cloned mutable data as an argument to a method or function.
375,Returning a Mutable Object to an Untrusted Caller,Base,Draft,Sending non-cloned mutable data as a return value may result in that data being altered or deleted by the calling function.
378,Creation of Temporary File With Insecure Permissions,Base,Draft,"Opening temporary files without appropriate measures or controls can leave the file, its contents and any function that it impacts vulnerable to attack."
379,Creation of Temporary File in Directory with Insecure Permissions,Base,Incomplete,The software creates a temporary file in a directory whose permissions allow unintended actors to determine the file's existence or otherwise access that file.
385,Covert Timing Channel,Base,Incomplete,"Covert timing channels convey information by modulating some aspect of system behavior over time, so that the program receiving the information can observe system behavior and infer protected information."
386,Symbolic Name not Mapping to Correct Object,Base,Draft,"A constant symbolic reference to an object is used, even though the reference can resolve to a different object over time."
390,Detection of Error Condition Without Action,Base,Draft,"The software detects a specific error, but takes no actions to handle the error."
391,Unchecked Error Condition,Base,Incomplete,[PLANNED FOR DEPRECATION. SEE MAINTENANCE NOTES.] Ignoring exceptions and other error conditions may allow an attacker to induce unexpected behavior unnoticed.
392,Missing Report of Error Condition,Base,Draft,The software encounters an error but does not provide a status code or return value to indicate that an error has occurred.
393,Return of Wrong Status Code,Base,Draft,"A function or operation returns an incorrect return value or status code that does not indicate an error, but causes the product to modify its behavior based on the incorrect result."
394,Unexpected Status Code or Return Value,Base,Draft,"The software does not properly check when a function or operation returns a value that is legitimate for the function, but is not expected by the software."
395,Use of NullPointerException Catch to Detect NULL Pointer Dereference,Base,Draft,Catching NullPointerException should not be used as an alternative to programmatic checks to prevent dereferencing a null pointer.
396,Declaration of Catch for Generic Exception,Base,Draft,Catching overly broad exceptions promotes complex error handling code that is more likely to contain security vulnerabilities.
397,Declaration of Throws for Generic Exception,Base,Draft,Throwing overly broad exceptions promotes complex error handling code that is more likely to contain security vulnerabilities.
403,Exposure of File Descriptor to Unintended Control Sphere ('File Descriptor Leak'),Base,Draft,"A process does not close sensitive file descriptors before invoking a child process, which allows the child to perform unauthorized I/O operations using those descriptors."
408,Incorrect Behavior Order: Early Amplification,Base,Draft,The software allows an entity to perform a legitimate but expensive operation before authentication or authorization has taken place.
409,Improper Handling of Highly Compressed Data (Data Amplification),Base,Incomplete,The software does not handle or incorrectly handles a compressed input with a very high compression ratio that produces a large output.
410,Insufficient Resource Pool,Base,Incomplete,"The software's resource pool is not large enough to handle peak demand, which allows an attacker to prevent others from accessing the resource by using a (relatively) large number of requests for resources."
412,Unrestricted Externally Accessible Lock,Base,Incomplete,"The software properly checks for the existence of a lock, but the lock can be externally controlled or influenced by an actor that is outside of the intended sphere of control."
413,Improper Resource Locking,Base,Draft,The software does not lock or does not correctly lock a resource when the software must have exclusive access to the resource.
414,Missing Lock Check,Base,Draft,A product does not check to see if a lock is present before performing sensitive operations on a resource.
419,Unprotected Primary Channel,Base,Draft,"The software uses a primary channel for administration or restricted functionality, but it does not properly protect the channel."
420,Unprotected Alternate Channel,Base,Draft,"The software protects a primary channel, but it does not use the same level of protection for an alternate channel."
421,Race Condition During Access to Alternate Channel,Base,Draft,"The product opens an alternate channel to communicate with an authorized user, but the channel is accessible to other actors."
425,Direct Request ('Forced Browsing'),Base,Incomplete,"The web application does not adequately enforce appropriate authorization on all restricted URLs, scripts, or files."
426,Untrusted Search Path,Base,Stable,The application searches for critical resources using an externally-supplied search path that can point to resources that are not under the application's direct control.
427,Uncontrolled Search Path Element,Base,Draft,"The product uses a fixed or controlled search path to find resources, but one or more locations in that path can be under the control of unintended actors."
428,Unquoted Search Path or Element,Base,Draft,"The product uses a search path that contains an unquoted element, in which the element contains whitespace or other separators. This can cause the product to access resources in a parent path."
430,Deployment of Wrong Handler,Base,Incomplete,The wrong handler is assigned to process an object.
431,Missing Handler,Base,Draft,A handler is not available or implemented.
432,Dangerous Signal Handler not Disabled During Sensitive Operations,Base,Draft,"The application uses a signal handler that shares state with other signal handlers, but it does not properly mask or prevent those signal handlers from being invoked while the original signal handler is still running."
433,Unparsed Raw Web Content Delivery,Variant,Incomplete,The software stores raw content or supporting code under the web document root with an extension that is not specifically handled by the server.
434,Unrestricted Upload of File with Dangerous Type,Base,Draft,The software allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.
437,Incomplete Model of Endpoint Features,Base,Incomplete,"A product acts as an intermediary or monitor between two or more endpoints, but it does not have a complete model of an endpoint's features, behaviors, or state, potentially causing the product to perform incorrect actions based on this incomplete model."
439,Behavioral Change in New Version or Environment,Base,Draft,"A's behavior or functionality changes with a new version of A, or a new environment, which is not known (or manageable) by B."
440,Expected Behavior Violation,Base,Draft,"A feature, API, or function does not perform according to its specification."
444,Inconsistent Interpretation of HTTP Requests ('HTTP Request Smuggling'),Base,Incomplete,"When malformed or abnormal HTTP requests are interpreted by one or more entities in the data flow between the user and the web server, such as a proxy or firewall, they can be interpreted inconsistently, allowing the attacker to smuggle a request to one device without the other device being aware of it."
447,Unimplemented or Unsupported Feature in UI,Base,Draft,"A UI function for a security feature appears to be supported and gives feedback to the user that suggests that it is supported, but the underlying functionality is not implemented."
448,Obsolete Feature in UI,Base,Draft,A UI function is obsolete and the product does not warn the user.
449,The UI Performs the Wrong Action,Base,Incomplete,The UI performs the wrong action with respect to the user's request.
450,Multiple Interpretations of UI Input,Base,Draft,The UI has multiple interpretations of user input but does not prompt the user when it selects the less secure interpretation.
454,External Initialization of Trusted Variables or Data Stores,Base,Draft,The software initializes critical internal variables or data stores using inputs that can be modified by untrusted actors.
455,Non-exit on Failed Initialization,Base,Draft,"The software does not exit or otherwise modify its operation when security-relevant errors occur during initialization, such as when a configuration file has a format error, which can cause the software to execute in a less secure fashion than intended by the administrator."
459,Incomplete Cleanup,Base,Draft,The software does not properly clean up and remove temporary or supporting resources after they have been used.
460,Improper Cleanup on Thrown Exception,Base,Draft,"The product does not clean up its state or incorrectly cleans up its state when an exception is thrown, leading to unexpected state or control flow."
462,Duplicate Key in Associative List (Alist),Base,Incomplete,Duplicate keys in associative lists can lead to non-unique keys being mistaken for an error.
463,Deletion of Data Structure Sentinel,Base,Incomplete,The accidental deletion of a data-structure sentinel can cause serious programming logic problems.
464,Addition of Data Structure Sentinel,Base,Incomplete,The accidental addition of a data-structure sentinel can cause serious programming logic problems.
466,Return of Pointer Value Outside of Expected Range,Base,Draft,A function can return a pointer to memory that is outside of the buffer that the pointer is expected to reference.
467,Use of sizeof() on a Pointer Type,Variant,Draft,"The code calls sizeof() on a malloced pointer type, which always returns the wordsize/8. This can produce an unexpected result if the programmer intended to determine how much memory has been allocated."
468,Incorrect Pointer Scaling,Base,Incomplete,"In C and C++, one may often accidentally refer to the wrong memory due to the semantics of when math operations are implicitly scaled."
469,Use of Pointer Subtraction to Determine Size,Base,Draft,"The application subtracts one pointer from another in order to determine size, but this calculation can be incorrect if the pointers do not exist in the same memory chunk."
470,Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection'),Base,Draft,"The application uses external input with reflection to select which classes or code to use, but it does not sufficiently prevent the input from selecting improper classes or code."
471,Modification of Assumed-Immutable Data (MAID),Base,Draft,The software does not properly protect an assumed-immutable element from being modified by an attacker.
472,External Control of Assumed-Immutable Web Parameter,Base,Draft,"The web application does not sufficiently verify inputs that are assumed to be immutable but are actually externally controllable, such as hidden form fields."
474,Use of Function with Inconsistent Implementations,Base,Draft,The code uses a function that has inconsistent implementations across operating systems and versions.
475,Undefined Behavior for Input to API,Base,Incomplete,The behavior of this function is undefined unless its control parameter is set to a specific value.
476,NULL Pointer Dereference,Base,Stable,"A NULL pointer dereference occurs when the application dereferences a pointer that it expects to be valid, but is NULL, typically causing a crash or exit."
477,Use of Obsolete Function,Base,Draft,"The code uses deprecated or obsolete functions, which suggests that the code has not been actively reviewed or maintained."
478,Missing Default Case in Switch Statement,Base,Draft,"The code does not have a default case in a switch statement, which might lead to complex logical errors and resultant weaknesses."
479,Signal Handler Use of a Non-reentrant Function,Variant,Draft,The program defines a signal handler that calls a non-reentrant function.
480,Use of Incorrect Operator,Base,Draft,"The programmer accidentally uses the wrong operator, which changes the application logic in security-relevant ways."
