CWE-ID,name,tool_name
704,Enum cast out of range,clang-analyzer
0,Checking analyzer assumptions,clang-analyzer
587,Use fixed address,clang-analyzer
398,GCD performance anti-pattern,clang-analyzer
502,Use of Untrusted Data,clang-analyzer
569,Identical expressions in conditional expression,clang-analyzer
569,Compare of identical expressions,clang-analyzer
1041,Identical branches,clang-analyzer
1041,Identical conditions,clang-analyzer
1041,Identical conditions,clang-analyzer
1041,Use of identical expressions,clang-analyzer
825,Iterator invalidated,clang-analyzer
465,Iterator out of range,clang-analyzer
459,Incomplete invalidation,clang-analyzer
459,Incomplete invalidation,clang-analyzer
399,AST node allocates heap memory,clang-analyzer
398,Plural Misuse,clang-analyzer
398,Context Missing,clang-analyzer
398,Unlocalizable string,clang-analyzer
399,Improper use of SecKeychain API,clang-analyzer
1006,Improper use of 'dispatch_once',clang-analyzer
401,Memory leak,clang-analyzer
763,Bad free,clang-analyzer
399,Use of zero allocated,clang-analyzer
415,Double delete,clang-analyzer
415,Double free,clang-analyzer
416,Use-after-free,clang-analyzer
761,Offset free,clang-analyzer
763,Bad deallocator,clang-analyzer
590,Free alloca(),clang-analyzer
763,Bad free,clang-analyzer
789,malloc() size overflow,clang-analyzer
131, dubious allocs arguments involving sizeof,clang-analyzer
200,"W^X check fails, Write Exec prot flags set",clang-analyzer
399,Use-after-move,clang-analyzer
1006,Use -drain instead of -release,clang-analyzer
476,CFErrorRef* null dereference,clang-analyzer
1006,Bad return type when passing CFErrorRef*,clang-analyzer
1006,Bad return type when passing NSError**,clang-analyzer
476,Dereference of null pointer,clang-analyzer
476,Argument with 'nonnull' attribute passed null,clang-analyzer
476,Nullability,clang-analyzer
682,Suspicious number object conversion,clang-analyzer
704,OSObject C-Style Cast,clang-analyzer
662,Nil value used as mutex for @synchronized() (no synchronization will occur),clang-analyzer
662,Uninitialized value used as mutex for @synchronized,clang-analyzer
465,CFArray API,clang-analyzer
1006,Objective-C property misuse,clang-analyzer
399,[super dealloc] should not be called more than once,clang-analyzer
1164,Unused instance variable,clang-analyzer
188,Dangerous pointer arithmetic,clang-analyzer
465,Iteration of pointer-like elements,clang-analyzer
465,Sorting of pointer-like elements,clang-analyzer
469,Pointer subtraction,clang-analyzer
667,Use destroyed lock,clang-analyzer
667,Init invalid lock,clang-analyzer
667,Destroy invalid lock,clang-analyzer
667,Lock order reversal,clang-analyzer
667,Double unlocking,clang-analyzer
667,Double locking,clang-analyzer
466,Return of pointer value outside of expected range,clang-analyzer
465,Returning null reference,clang-analyzer
465,Garbage return value,clang-analyzer
399,Memory leak inside autorelease pool,clang-analyzer
910,Double fclose,clang-analyzer
775,Resource Leak,clang-analyzer
910,Double fclose,clang-analyzer
476,NULL stream pointer,clang-analyzer
628,Illegal whence argument,clang-analyzer
19,Tainted data,clang-analyzer
369,Division by zero,clang-analyzer
465,Branch condition evaluates to a garbage value,clang-analyzer
824,uninitialized variable captured by block,clang-analyzer
465,Result of operation is garbage or undefined,clang-analyzer
824,Array subscript is undefined,clang-analyzer
561,Unreachable code,clang-analyzer
789,Dangerous variable-length array (VLA) declaration,clang-analyzer
401,Leaked va_list,clang-analyzer
824,Uninitialized va_list,clang-analyzer
399,Dangerous construct in a vforked process,clang-analyzer
788,Out-of-bound array access,clang-analyzer
788,Out-of-bound access,clang-analyzer
557,Call to blocking function in critical section,clang-analyzer
681,Assignment of a non-Boolean value,clang-analyzer
1006,API,clang-analyzer
788,Out-of-bound array access,clang-analyzer
398,Anti-pattern in the argument,clang-analyzer
398,Anti-pattern in the argument,clang-analyzer
465,Receiver in message expression is 'nil',clang-analyzer
824,Subscript access on an uninitialized object pointer,clang-analyzer
824,Property access on an uninitialized object pointer,clang-analyzer
824,Receiver in message expression is an uninitialized value,clang-analyzer
476,Called C++ object pointer is null,clang-analyzer
824,Called C++ object pointer is uninitialized,clang-analyzer
824,Uninitialized argument value,clang-analyzer
476,Called function pointer is null (null dereference),clang-analyzer
824,Called function pointer is an uninitialized pointer value,clang-analyzer
704,Cast region with wrong size.,clang-analyzer
704,Widening cast to struct type,clang-analyzer
704,Cast from non-struct type to struct type,clang-analyzer
399,Mistaken dealloc,clang-analyzer
401,Missing ivar release (leak),clang-analyzer
389,Incompatible instance method return type,clang-analyzer
242,Potential insecure implementation-specific behavior in call 'vfork',clang-analyzer
338,'random' is not a secure random number generator,clang-analyzer
120,Potential insecure memory buffer bounds restriction in call 'strcat',clang-analyzer
120,Potential insecure memory buffer bounds restriction in call 'strcpy',clang-analyzer
378,Insecure temporary file creation,clang-analyzer
378,Potential insecure temporary file in call 'mktemp',clang-analyzer
242,Potential buffer overflow in call to 'getpw',clang-analyzer
242,Potential buffer overflow in call to 'gets',clang-analyzer
477,Use of deprecated function in call to 'bzero()',clang-analyzer
477,Use of deprecated function in call to 'bcopy()',clang-analyzer
477,Use of deprecated function in call to 'bcmp()',clang-analyzer
467,Potential unintended use of sizeof() on pointer type,clang-analyzer
243,Break out of jail,clang-analyzer
1041,Suspicious code clone,clang-analyzer
1041,Exact code clone,clang-analyzer
681,Conversion,clang-analyzer
1079,Destruction of a polymorphic object with no virtual destructor,clang-analyzer
824,Dereference of undefined pointer value,clang-analyzer
476,Dereference of null pointer,clang-analyzer
1006,Property access,clang-analyzer
369,Division by zero,clang-analyzer
136,Dynamic and static type mismatch,clang-analyzer
704,Generics,clang-analyzer
704,Enum cast out of range,clang-analyzer
587,Use fixed address,clang-analyzer
398,GCD performance anti-pattern,clang-analyzer
502,Use of Untrusted Data,clang-analyzer
569,Identical expressions in conditional expression,clang-analyzer
569,Compare of identical expressions,clang-analyzer
1041,Identical branches,clang-analyzer
1041,Identical conditions,clang-analyzer
1041,Identical conditions,clang-analyzer
1041,Use of identical expressions,clang-analyzer
825,Iterator invalidated,clang-analyzer
465,Iterator out of range,clang-analyzer
459,Incomplete invalidation,clang-analyzer
459,Incomplete invalidation,clang-analyzer
459,Incomplete invalidation,clang-analyzer
399,AST node allocates heap memory,clang-analyzer
398,Plural Misuse,clang-analyzer
398,Context Missing,clang-analyzer
398,Unlocalizable string,clang-analyzer
399,Improper use of SecKeychain API,clang-analyzer
1006,Improper use of 'dispatch_once',clang-analyzer
401,Memory leak,clang-analyzer
763,Bad free,clang-analyzer
399,Use of zero allocated,clang-analyzer
415,Double delete,clang-analyzer
415,Double free,clang-analyzer
416,Use-after-free,clang-analyzer
761,Offset free,clang-analyzer
763,Bad deallocator,clang-analyzer
590,Free alloca(),clang-analyzer
763,Bad free,clang-analyzer
789,malloc() size overflow,clang-analyzer
131,Allocator sizeof operand mismatch,clang-analyzer
399,Use-after-move,clang-analyzer
1006,Use -drain instead of -release,clang-analyzer
476,CFErrorRef* null dereference,clang-analyzer
1006,Bad return type when passing CFErrorRef*,clang-analyzer
1006,Bad return type when passing NSError**,clang-analyzer
476,Dereference of null pointer,clang-analyzer
476,Argument with 'nonnull' attribute passed null,clang-analyzer
476,Nullability,clang-analyzer
682,Suspicious number object conversion,clang-analyzer
704,OSObject C-Style Cast,clang-analyzer
662,Nil value used as mutex for @synchronized() (no synchronization will occur),clang-analyzer
662,Uninitialized value used as mutex for @synchronized,clang-analyzer
465,CFArray API,clang-analyzer
1006,Objective-C property misuse,clang-analyzer
399,[super dealloc] should not be called more than once,clang-analyzer
1164,Unused instance variable,clang-analyzer
188,Dangerous pointer arithmetic,clang-analyzer
188,Dangerous pointer arithmetic,clang-analyzer
465,Iteration of pointer-like elements,clang-analyzer
465,Sorting of pointer-like elements,clang-analyzer
469,Pointer subtraction,clang-analyzer
667,Use destroyed lock,clang-analyzer
667,Init invalid lock,clang-analyzer
667,Destroy invalid lock,clang-analyzer
667,Lock order reversal,clang-analyzer
667,Double unlocking,clang-analyzer
667,Double locking,clang-analyzer
466,Return of pointer value outside of expected range,clang-analyzer
465,Returning null reference,clang-analyzer
465,Garbage return value,clang-analyzer
399,Memory leak inside autorelease pool,clang-analyzer
910,Double fclose,clang-analyzer
775,Resource Leak,clang-analyzer
910,Double fclose,clang-analyzer
628,Illegal whence argument,clang-analyzer
476,NULL stream pointer,clang-analyzer
19,Tainted data,clang-analyzer
369,Division by zero,clang-analyzer
465,Branch condition evaluates to a garbage value,clang-analyzer
824,uninitialized variable captured by block,clang-analyzer
465,Result of operation is garbage or undefined,clang-analyzer
824,Array subscript is undefined,clang-analyzer
561,Unreachable code,clang-analyzer
789,Dangerous variable-length array (VLA) declaration,clang-analyzer
401,Leaked va_list,clang-analyzer
824,Uninitialized va_list,clang-analyzer
399,Dangerous construct in a vforked process,clang-analyzer
0,ALLOCATION_COMPLEXITY_INCREASE,Infer
0,ALLOCATION_COMPLEXITY_INCREASE_COLD_START,Infer
0,ANALYSIS_STOPS,Infer
0,ARRAY_OUT_OF_BOUNDS_L1,Infer
0,ARRAY_OUT_OF_BOUNDS_L2,Infer
0,ARRAY_OUT_OF_BOUNDS_L3,Infer
0,Abduction_case_not_implemented,Infer
0,Array_of_pointsto,Infer
0,Assert_failure,Infer
121,BUFFER_OVERRUN_L1,Infer
121,BUFFER_OVERRUN_L2,Infer
121,BUFFER_OVERRUN_L3,Infer
121,BUFFER_OVERRUN_L4,Infer
121,BUFFER_OVERRUN_L5,Infer
121,BUFFER_OVERRUN_R2,Infer
121,BUFFER_OVERRUN_S2,Infer
121,BUFFER_OVERRUN_U5,Infer
0,Bad_footprint,Infer
0,CHECKERS_ALLOCATES_MEMORY,Infer
0,CHECKERS_ANNOTATION_REACHABILITY_ERROR,Infer
0,CHECKERS_CALLS_EXPENSIVE_METHOD,Infer
0,CHECKERS_EXPENSIVE_OVERRIDES_UNANNOTATED,Infer
0,CHECKERS_FRAGMENT_RETAINS_VIEW,Infer
704,CHECKERS_IMMUTABLE_CAST,Infer
628,CHECKERS_PRINTF_ARGS,Infer
704,CLASS_CAST_EXCEPTION,Infer
0,CLASS_LOAD,Infer
1077,COMPARING_FLOAT_FOR_EQUALITY,Infer
0,COMPONENT_FACTORY_FUNCTION,Infer
0,COMPONENT_FILE_CYCLOMATIC_COMPLEXITY,Infer
0,COMPONENT_FILE_LINE_COUNT,Infer
0,COMPONENT_INITIALIZER_WITH_SIDE_EFFECTS,Infer
0,COMPONENT_WITH_MULTIPLE_FACTORY_METHODS,Infer
0,COMPONENT_WITH_UNCONVENTIONAL_SUPERCLASS,Infer
570,CONDITION_ALWAYS_FALSE,Infer
571,CONDITION_ALWAYS_TRUE,Infer
0,CREATE_INTENT_FROM_URI,Infer
79,CROSS_SITE_SCRIPTING,Infer
0,Cannot_star,Infer
0,Codequery,Infer
825,DANGLING_POINTER_DEREFERENCE,Infer
833,DEADLOCK,Infer
563,DEAD_STORE,Infer
590,DEALLOCATE_STACK_VARIABLE,Infer
590,DEALLOCATE_STATIC_MEMORY,Infer
0,DEALLOCATION_MISMATCH,Infer
369,DIVIDE_BY_ZERO,Infer
0,DO_NOT_REPORT,Infer
0,EMPTY_VECTOR_ACCESS,Infer
1041,ERADICATE_CONDITION_REDUNDANT,Infer
0,ERADICATE_CONDITION_REDUNDANT_NONNULL,Infer
456,ERADICATE_FIELD_NOT_INITIALIZED,Infer
0,ERADICATE_FIELD_NOT_MUTABLE,Infer
0,ERADICATE_FIELD_NOT_NULLABLE,Infer
0,ERADICATE_FIELD_OVER_ANNOTATED,Infer
0,ERADICATE_FIELD_VALUE_ABSENT,Infer
0,ERADICATE_INCONSISTENT_SUBCLASS_PARAMETER_ANNOTATION,Infer
0,ERADICATE_INCONSISTENT_SUBCLASS_RETURN_ANNOTATION,Infer
0,ERADICATE_NULLABLE_DEREFERENCE,Infer
0,ERADICATE_PARAMETER_NOT_NULLABLE,Infer
0,ERADICATE_PARAMETER_VALUE_ABSENT,Infer
0,ERADICATE_RETURN_NOT_NULLABLE,Infer
0,ERADICATE_RETURN_OVER_ANNOTATED,Infer
0,ERADICATE_RETURN_VALUE_NOT_PRESENT,Infer
0,ERADICATE_VALUE_NOT_PRESENT,Infer
0,EXECUTION_TIME_COMPLEXITY_INCREASE,Infer
0,EXECUTION_TIME_COMPLEXITY_INCREASE_COLD_START,Infer
0,EXPENSIVE_ALLOCATION,Infer
0,EXPENSIVE_ALLOCATION_COLD_START,Infer
0,EXPENSIVE_EXECUTION_TIME,Infer
0,EXPENSIVE_EXECUTION_TIME_COLD_START,Infer
0,EXPENSIVE_LOOP_INVARIANT_CALL,Infer
0,EXPOSED_INSECURE_INTENT_HANDLING,Infer
0,Failure_exe,Infer
0,GLOBAL_VARIABLE_INITIALIZED_WITH_FUNCTION_OR_METHOD_CALL,Infer
0,GRAPHQL_FIELD_ACCESS,Infer
0,GUARDEDBY_VIOLATION,Infer
0,INEFFICIENT_KEYSET_ITERATOR,Infer
789,INFERBO_ALLOC_IS_BIG,Infer
789,INFERBO_ALLOC_IS_NEGATIVE,Infer
789,INFERBO_ALLOC_IS_ZERO,Infer
789,INFERBO_ALLOC_MAY_BE_BIG,Infer
789,INFERBO_ALLOC_MAY_BE_NEGATIVE,Infer
789,INFINITE_ALLOCATION,Infer
0,INFINITE_EXECUTION_TIME,Infer
0,INHERENTLY_DANGEROUS_FUNCTION,Infer
0,INSECURE_INTENT_HANDLING,Infer
190,INTEGER_OVERFLOW_L1,Infer
190,INTEGER_OVERFLOW_L2,Infer
190,INTEGER_OVERFLOW_L5,Infer
190,INTEGER_OVERFLOW_R2,Infer
190,INTEGER_OVERFLOW_U5,Infer
0,INTERFACE_NOT_THREAD_SAFE,Infer
0,INVARIANT_CALL,Infer
0,IVAR_NOT_NULL_CHECKED,Infer
0,Internal_error,Infer
0,JAVASCRIPT_INJECTION,Infer
0,LOCK_CONSISTENCY_VIOLATION,Infer
0,LOGGING_PRIVATE_DATA,Infer
0,Leak_after_array_abstraction,Infer
0,Leak_in_footprint,Infer
401,MEMORY_LEAK,Infer
0,MISSING_REQUIRED_PROP,Infer
0,MUTABLE_LOCAL_VARIABLE_IN_COMPONENT_FILE,Infer
0,Missing_fld,Infer
0,NULLSAFE_FIELD_NOT_NULLABLE,Infer
0,NULLSAFE_NULLABLE_DEREFERENCE,Infer
476,NULL_DEREFERENCE,Infer
0,NULL_TEST_AFTER_DEREFERENCE,Infer
0,PARAMETER_NOT_NULL_CHECKED,Infer
0,POINTER_SIZE_MISMATCH,Infer
0,PRECONDITION_NOT_FOUND,Infer
0,PRECONDITION_NOT_MET,Infer
0,PREMATURE_NIL_TERMINATION_ARGUMENT,Infer
0,PURE_FUNCTION,Infer
0,QUANDARY_TAINT_ERROR,Infer
0,REGISTERED_OBSERVER_BEING_DEALLOCATED,Infer
402,RESOURCE_LEAK,Infer
0,RETAIN_CYCLE,Infer
0,RETURN_EXPRESSION_REQUIRED,Infer
0,RETURN_STATEMENT_MISSING,Infer
252,RETURN_VALUE_IGNORED,Infer
78,SHELL_INJECTION,Infer
78,SHELL_INJECTION_RISK,Infer
0,SKIP_FUNCTION,Infer
0,SKIP_POINTER_DEREFERENCE,Infer
89,SQL_INJECTION,Infer
89,SQL_INJECTION_RISK,Infer
562,STACK_VARIABLE_ADDRESS_ESCAPE,Infer
0,STARVATION,Infer
0,STATIC_INITIALIZATION_ORDER_FIASCO,Infer
0,STRICT_MODE_VIOLATION,Infer
0,Symexec_memory_error,Infer
0,TAINTED_BUFFER_ACCESS,Infer
789,TAINTED_MEMORY_ALLOCATION,Infer
362,THREAD_SAFETY_VIOLATION,Infer
0,TOPL_ERROR,Infer
0,UNARY_MINUS_APPLIED_TO_UNSIGNED_EXPRESSION,Infer
457,UNINITIALIZED_VALUE,Infer
561,UNREACHABLE_CODE,Infer
0,UNSAFE_GUARDED_BY_ACCESS,Infer
0,UNTRUSTED_BUFFER_ACCESS,Infer
502,UNTRUSTED_DESERIALIZATION,Infer
0,UNTRUSTED_DESERIALIZATION_RISK,Infer
0,UNTRUSTED_ENVIRONMENT_CHANGE_RISK,Infer
0,UNTRUSTED_FILE,Infer
0,UNTRUSTED_FILE_RISK,Infer
789,UNTRUSTED_HEAP_ALLOCATION,Infer
0,UNTRUSTED_INTENT_CREATION,Infer
0,UNTRUSTED_URL_RISK,Infer
0,UNTRUSTED_VARIABLE_LENGTH_ARRAY,Infer
0,USER_CONTROLLED_SQL_RISK,Infer
416,USE_AFTER_DELETE,Infer
416,USE_AFTER_FREE,Infer
666,USE_AFTER_LIFETIME,Infer
0,Unknown_proc,Infer
0,VECTOR_INVALIDATION,Infer
685,Wrong_argument_number,Infer
0,ZERO_ALLOCATION,Infer
0,ZERO_EXECUTION_TIME,Infer
571,There are identical sub-expressions to the left and to the right of the 'foo' operator.,PVS-Studio
783,Perhaps the '?:' operator works in a different way than it was expected. The '?:' operator has a lower priority than the 'foo' operator.,PVS-Studio
697,This is a nonsensical comparison: pointer < 0.,PVS-Studio
841,It is highly probable that the semicolon ';' is missing after 'return' keyword.,PVS-Studio
770,The 'alloca' function is used inside the loop. This can quickly overflow stack.,PVS-Studio
562,Pointer to local variable 'X' is stored outside the scope of this variable. Such a pointer will become invalid.,PVS-Studio
562,Pointer to local array 'X' is stored outside the scope of this array. Such a pointer will become invalid.,PVS-Studio
480,The use of 'new type(n)' pattern was detected. Probably meant: 'new type[n]'.,PVS-Studio
703,Exceptions that were raised inside noexcept functions must be wrapped in a try..catch block.,PVS-Studio
686,The 'Foo' function is not expected to receive class-type variable as 'N' actual argument.,PVS-Studio
467,"The sizeof() operator returns size of the pointer, and not of the array, in given expression.",PVS-Studio
119,A call of the 'Foo' function will lead to a buffer overflow or underflow.,PVS-Studio
676,Use _beginthreadex/_endthreadex functions instead of CreateThread/ExitThread functions.,PVS-Studio
131,Dividing sizeof a pointer by another value. There is a probability of logical error presence.,PVS-Studio
763,The 'delete' operator is applied to non-pointer.,PVS-Studio
571,Consider inspecting an odd expression. Non-null function pointer is compared to null.,PVS-Studio
570,The use of 'if (A) {...} else if (A) {...}' pattern was detected. There is a probability of logical error presence.,PVS-Studio
131,The 'malloc' function allocates strange amount of memory calculated by 'strlen(expr)'. Perhaps the correct variant is strlen(expr) + 1.,PVS-Studio
563,The 'x' variable is assigned values twice successively. Perhaps this is a mistake.,PVS-Studio
480,"The comma operator ',' in array index expression.",PVS-Studio
480,"Such expressions using the ',' operator are dangerous. Make sure the expression is correct.",PVS-Studio
690,Dereferencing of the null pointer might take place.,PVS-Studio
691,The 'then' statement is equivalent to the 'else' statement.,PVS-Studio
682,"The code contains the collection of similar blocks. Check items X, Y, Z, ... in lines N1, N2, N3, ...",PVS-Studio
253,The 'strcmp' function returns 0 if corresponding strings are equal. Consider examining the condition for mistakes.,PVS-Studio
351,It is odd that the 'zero' value is assigned to pointer. Probably meant: *ptr = zero.,PVS-Studio
697,It is odd that pointer is compared with the 'zero' value. Probably meant: *ptr != zero.,PVS-Studio
670,Odd semicolon ';' after 'if/for/while' operator.,PVS-Studio
252,The return value of function 'Foo' is required to be utilized.,PVS-Studio
131,It is odd that a sizeof() operator is multiplied by sizeof().,PVS-Studio
480,Consider inspecting the statement of '*pointer++' pattern. Probably meant: '(*pointer)++'.,PVS-Studio
691,It is likely that a wrong variable is being incremented inside the 'for' operator. Consider reviewing 'X'.,PVS-Studio
691,It is likely that a wrong variable is being compared inside the 'for' operator. Consider reviewing 'X'.,PVS-Studio
691,The variable 'X' is being used for this loop and for the outer loop.,PVS-Studio
682,Be advised that the utilized constant value is represented by an octal form.,PVS-Studio
682,Consider reviewing the correctness of 'X' item's usage.,PVS-Studio
688,Consider inspecting iterators which are being passed as arguments to function 'Foo'.,PVS-Studio
628,Member 'x' should point to string terminated by two 0 characters.,PVS-Studio
628,It is dangerous to print a string into itself.,PVS-Studio
704,Consider inspecting an odd type cast: 'Type1' to ' Type2'.,PVS-Studio
704,It is odd that value 'X' is assigned to the variable 'Y' of HRESULT type.,PVS-Studio
253,It is odd that the value 'X' of HRESULT type is compared with 'Y'.,PVS-Studio
253,Such conditional expression of 'if' statement is incorrect for the HRESULT type value 'Foo'. The SUCCEEDED or FAILED macro should be used instead.,PVS-Studio
665,Member of a class is initialized with itself: 'Foo(Foo)'.,PVS-Studio
571,Expression is always true/false.,PVS-Studio
704,Consider reviewing type casting. TYPE X[][] is not equivalent to TYPE **X.,PVS-Studio
688,The 'first' argument of 'Foo' function is equal to the 'second' argument.,PVS-Studio
682,An odd precise comparison. It's probably better to use a comparison with defined precision: fabs(A - B) < Epsilon or fabs(A - B) > Epsilon.,PVS-Studio
561,The code under this 'case' label is unreachable.,PVS-Studio
480,A bool type variable is being incremented. Perhaps another variable should be incremented instead.,PVS-Studio
762,Incorrect use of smart pointer.,PVS-Studio
191,The expression of the 'A - B > 0' kind will work as 'A != B'.,PVS-Studio
697,The values of different enum types are compared.,PVS-Studio
787,Array overrun is possible.,PVS-Studio
562,Function returns the pointer/reference to temporary local object.,PVS-Studio
481,Suspicious assignment inside the conditional expression of 'if/while/for' statement.,PVS-Studio
571,A part of conditional expression is always true/false.,PVS-Studio
