CBMC,http://www.cprover.org/cbmc/,"Bounded model-checker for C programs, user-defined assertions, standard assertions, several coverage metric analyses.","c, cpp",N,9234547,7870223,
cfn-lint,https://github.com/awslabs/cfn-python-lint,AWS Labs CloudFormation linter,configmanagement,N,6006355,7515628,
cfn_nag,https://github.com/stelligent/cfn_nag,A linter for AWS CloudFormation templates,configmanagement,N,3891856,1317363,
Checker Framework,https://checkerframework.org/,Pluggable type-checking for Java.,java,N,9067196,948900,
checkmake,https://github.com/mrtazz/checkmake,Linter / Analyzer for Makefiles,"buildtool, make",N,6830658,1066700,
Checkmarx CxSAST,https://www.checkmarx.com/products/static-application-security-testing/,Commercial Static Code Analysis which doesn't require pre-compilation.,"apex, asp, c, cpp, csharp, go, groovy, html, java, javascript, mobile, nodejs, objectivec, perl, phonegap, php, python, ruby, scala, security, swift, vbnet, vbasic, vbscript, visualforce",Y,1812937,6567565,
checkov,https://www.checkov.io/,"Static analysis tool for Terraform files (tf>=v0.12), preventing cloud misconfigs at build time.",configmanagement,N,3783103,5602914,
checkstyle,https://checkstyle.org/,Checking Java source code for adherence to a Code Standard or set of validation rules (best practices),java,N,6314386,1150721,
ChkTeX,http://www.nongnu.org/chktex/,A linter for LaTex which catches some typographic errors LaTeX oversees,latex,N,8774611,4617704,
churn-php,https://github.com/bmitch/churn-php,Helps discover good candidates for refactoring,php,N,3671755,8353320,
ciocheck,https://github.com/ContinuumIO/ciocheck,"Linter, formatter and test suite helper. As a linter, it is a wrapper around `pep8`, `pydocstyle`, `flake8`, and `pylint`.","python, meta, formatter",N,9222493,5480371,
ck,https://github.com/mauricioaniche/ck,Calculates Chidamber and Kemerer object-oriented metrics by processing the source Java files,java,N,3744587,9267040,
ckjm,http://www.spinellis.gr/sw/ckjm/,Calculates Chidamber and Kemerer object-oriented metrics by processing the bytecode of compiled Java files,java,N,1637599,7640157,
clair,https://github.com/coreos/clair,Vulnerability Static Analysis for Containers,container,N,6528186,4731759,
clang-tidy,http://clang.llvm.org/extra/clang-tidy/,clang static analyser,"c, cpp",N,1015777,2833917,
ClassGraph,https://github.com/classgraph/classgraph,A classpath and module path scanner for querying or visualizing class metadata or class relatedness,"java, groovy, kotlin",N,811056,4263638,
clippy,https://rust-lang.github.io/rust-clippy/,A code linter to catch common mistakes and improve your Rust code,rust,N,6019305,8898571,
Closure Compiler,https://developers.google.com/closure/compiler/,"A compiler tool to increase efficiency, reduce size, and provide code warnings in JavaScript files.",javascript,N,4344628,4206053,
ClosureLinter,https://github.com/google/closure-linter,Ensures that all of your project's JavaScript code follows the guidelines in the Google JavaScript Style Guide. It can also automatically fix many common errors.,javascript,N,4168978,7778693,
clj-kondo,ttps://github.com/borkdude/clj-kond, A linter for Clojure code that sparks joy. It informs you about potential errors while you are typing,clojure,N,3689124,9124556,
CMetrics,https://github.com/MetricsGrimoire/CMetrics,Measures size and complexity for C files,"c, cpp",N,3955344,399323,
coala,https://coala.io/,Language independent framework for creating code analysis - supports [over 60 languages](https://coala.io/languages) by default.,"c, cpp, java, javascript, css",N,3438945,663585,
Cobra,http://spinroot.com/cobra/,Structural source code analyzer by NASA's Jet Propulsion Laboratory.,"ada, c, cpp, python",Y,2583657,889825,
Codacy,https://www.codacy.com/,"Code Analysis to ship Better Code, Faster.",service,Y,8177989,7288158,
Code Analysis Rule Collection,https://carc.codeplex.com/,"'Contains a set of diagnostics, code fixes and refactorings built on the Microsoft .NET Compiler Platform ""Roslyn"".",csharp,N,4445142,6350807,
Code Climate,https://codeclimate.com/,"The open and extensible static analysis platform, for everyone.",service,Y,2519085,4723182,
Code Inspector,https://www.code-inspector.com,Code quality and technical debt management platform that supports 10+ languages,service,Y,7511941,6020087,
code-cracker,http://code-cracker.github.io/,"An analyzer library for C# and VB that uses Roslyn to produce refactorings, code analysis, and other niceties.",csharp,N,6118551,2601042,
Codeac,https://www.codeac.io?ref=awesome-static-analysis,"Automated code review tool integrates with GitHub, Bitbucket and GitLab (even self-hosted). Available for JavaScript, TypeScript, Python, Ruby, Go, PHP, Java, Docker, and more. (open-source free)","ci, container, go, java, javascript, php, python, ruby, service, typescript",Y,5995865,9817549,
codeburner,http://groupon.github.io/codeburner/,Provides a unified interface to sort and act on the issues it finds,"c, cpp, java, javascript, meta, php",N,6393529,5238847,
codechecker,https://codechecker.readthedocs.io/en/latest/,A defect database and viewer extension for the Clang Static Analyzer with web GUI,"buildtool, c, cpp",N,4039679,8512734,
CodeFactor,https://codefactor.io,"Static Code Analysis for C#, C, C++, CoffeeScript, CSS, Groovy, GO, JAVA, JavaScript, Less, Python, Ruby, Scala, SCSS, TypeScript.","c, coffeescript, cpp, csharp, css, go, groovy, java, javascript, less, php, python, ruby, scala, typescript",Y,6554190,3840699,
CodeFlow,https://www.getcodeflow.com,Automated code analysis tool to deal with technical depth. Integrates with Bitbucket and Gitlab. (free for Open Source Projects,service,Y,6755266,3426264,
CodeIt.Right,https://submain.com/products/codeit.right.aspx,"CodeIt.Right&trade; provides a fast, automated way to ensure that your source code adheres to (your) predefined design and style guidelines as well as best coding practices.","csharp, vbnet",Y,8772708,3000450,
Codelyzer,http://codelyzer.com/,A set of tslint rules for static code analysis of Angular 2 TypeScript projects,typescript,N,9699342,6705017,
CodeNarc,https://codenarc.github.io/CodeNarc/,"A static analysis tool for Groovy source code, enabling monitoring and enforcement of many coding standards and best practices.",groovy,N,8035452,7603693,
CodePatrol,https://cyber-security.claranet.fr/en/codepatrol,"Automated SAST code reviews driven by security, supports 15+ languages and includes security training.","ci, csharp, javascript, java, php, service, security",Y,4062360,3285834,
Codepeer,http://www.adacore.com/codepeer,Detects run-time and logic errors,ada,Y,1816574,6854696,
CodeRush,https://www.devexpress.com/products/coderush/,"Code creation, debugging, navigation, refactoring, analysis and visualization tools that use the Roslyn engine in Visual Studio 2015 and up.","aspnet, csharp, dotnet",Y,469485,3221342,
CodeScene,https://empear.com/,"CodeScene prioritizes technical debt, finds social patterns and identifies hidden risks in your code.","c, cpp, csharp, elixir, go, groovy, java, javascript, kotlin, perl, php, python, typescript",Y,8242014,4499847,
CodeSonar from GrammaTech,https://www.grammatech.com/products/codesonar,"Advanced, whole program, deep path, static analysis of C and C++ with easy-to-understand explanations and code and path visualization.","c, cpp",Y,4364979,5070949,
codespell,https://github.com/codespell-project/codespell,Check code for common misspellings,writing,N,990733,9810285,
coffeelint,http://www.coffeelint.org/,A style checker that helps keep CoffeeScript code clean and consistent,coffeescript,N,2793502,510509,
CogniCrypt,https://www.eclipse.org/cognicrypt/,Checks Java source and byte code for incorrect uses of cryptographic APIs,java,N,4825130,3831605,
cohesion,https://github.com/mschwager/cohesion,A tool for measuring Python class cohesion,python,N,5573351,3218600,
collector,https://github.com/banyanops/collector,"Run arbitrary scripts inside containers, and gather useful information.",container,N,9485101,4235589,
complexity-report,https://github.com/jared-stilwell/complexity-report,Software complexity analysis for JavaScript projects,javascript,N,1173181,6101309,
cookstyle,https://docs.chef.io/cookstyle.html,Cookstyle is a linting tool based on the RuboCop Ruby linting tool for Chef cookbooks,configmanagement,N,8502144,3207159,
Corrode,https://github.com/jameysharp/corrode,Semi-automatic translation from C to Rust. Could reveal bugs in the original implementation by showing Rust compiler warnings and errors. Superseded by C2Rust,"c, cpp, rust",N,4623942,2221830,
Coverity,https://www.synopsys.com/software-integrity/security-testing/static-analysis-sast.html,"Synopsys Coverity supports 20 languages and over 70 frameworks including Ruby on rails, Scala, PHP, Python, JavaScript, TypeScript, Java, Fortran, C, C++, C#, VB.NET.","c, cpp, csharp, fortran, java, javascript, php, python, rails, scala, typescript, vbnet, security",Y,7154852,5533131,
cppcheck,http://cppcheck.sourceforge.net/,Static analysis of C/C++ code,"c, cpp",N,4318246,7775356,
CppDepend,https://www.cppdepend.com,"Measure, query and visualize your code and avoid unexpected issues, technical debt and complexity.","c, cpp",Y,4854073,4967685,
cpplint,https://github.com/google/styleguide/tree/gh-pages/cpplint,Automated C++ checker that follows Google's style guide.,"c, cpp",N,1079416,6567177,
cqc,https://github.com/xcatliu/cqc,"Check your code quality for js, jsx, vue, css, less, scss, sass and styl files.","javascript, jsx, vue, css, less",N,8615757,565548,
cqmetrics,https://github.com/dspinellis/cqmetrics,Quality metrics for C code,"c, cpp",N,9854481,9325476,
credo,http://credo-ci.org/,A static code analysis tool with a focus on code consistency and teaching,elixir,N,7985475,8111768,
crystal,https://crystal-lang.org/,The Crystal compiler has built-in linting functionality,crystal,N,9106551,9748860,
CScout,https://www.spinellis.gr/cscout/,Complexity and quality metrics for for C and C preprocessor code,"c, cpp",N,2918045,6550607,
CSharpEssentials,https://github.com/DustinCampbell/CSharpEssentials,"C# Essentials is a collection of Roslyn diagnostic analyzers, code fixes and refactorings that make it easy to work with C# 6 language features.",csharp,N,4561338,3293177,
CSS Stats,https://cssstats.com/,Potentially interesting stats on stylesheets,css,N,3106326,7617508,
CSScomb,https://github.com/csscomb/csscomb.js,A coding style formatter for CSS. Supports own configurations to make style sheets beautiful and consistent,"css, formatter",N,3835044,8569815,
CSSLint,http://csslint.net/,Does basic syntax checking and finds problematic patterns or signs of inefficiency,css,N,7850679,6442824,
cwe_checker,https://github.com/fkie-cad/cwe_checker,cwe_checker finds vulnerable patterns in binary executables,binary,N,5402973,6040289,
cyclocomp,https://github.com/MangoTheCat/cyclocomp,Quantifies the cyclomatic complexity of R functions / expressions,r,N,3162406,2559133,
D-scanner,https://github.com/dlang-community/D-Scanner,D-Scanner is a tool for analyzing D source code,dlang,N,5514400,6443837,
Linter for dart,https://dart-lang.github.io/linter/,Style linter for Dart,dart,N,3113307,3566984,
dagda,https://github.com/eliasgranderubio/dagda,Perform static analysis of known vulnerabilities in docker images/containers,container,N,2291405,6916338,
dawnscanner,https://github.com/thesp0nge/dawnscanner,"A static analysis security scanner for ruby written web applications. It supports Sinatra, Padrino and Ruby on Rails frameworks.","ruby, rails",N,9578702,6754033,
deadcode,https://github.com/tsenart/deadcode,Finds unused code,go,N,9900721,3620821,
DeepScan,https://deepscan.io,An analyzer for JavaScript which targets runtime errors and quality issues rather than coding conventions,javascript,Y,2433671,6765399,
DeepCode,https://www.deepcode.ai/,"DeepCode finds bugs, security vulnerabilities, performance and API issues based on AI. DeepCode's speed of analysis allow us to analyse your code in real time and deliver results when you hit the save button in your IDE. Supported languages are Java, C/C++, JavaScript, Python, and TypeScript. Integrations with GitHub, BitBucket and Gitlab.","c, cpp, java, python, javascript, typescript",Y,1398371,3779308,
DeepSource,https://deepsource.io/,"In-depth static analysis to find issues in verticals of bug risks, security, anti-patterns, performance, documentation and style. Native integrations with GitHub, GitLab and Bitbucket. Less than 5% false positives.","go, python, ruby, javascript, sql, container, configmanagement",Y,7433533,6247898,
dennis,https://github.com/willkg/dennis/,A set of utilities for working with PO files to ease development and improve quality,translation,N,4758939,6185931,
deno_lint,https://github.com/denoland/deno_lint,Official linter for Deno,deno,N,4702296,321090,
Depends,https://github.com/multilang-depends/depends,"Analyses the comprehensive dependencies of code elements for Java, C/C++, Ruby.","c, cpp, java, php",N,3306054,8284226,
dephpend,https://dephpend.com/,Dependency analysis tool,php,N,4708395,1326444,
deprecation-detector,https://github.com/sensiolabs-de/deprecation-detector,Finds usages of deprecated (Symfony) code,php,N,9527876,6035853,
deptrac,https://github.com/sensiolabs-de/deptrac,Enforce rules for dependencies between software layers,php,N,980690,8118089,
Designite,http://www.designite-tools.com,"Designite supports detection of various architecture, design, and implementation smells, computation of various code quality metrics, and trend analysis.",csharp,Y,3248695,6061216,
DesigniteJava,http://www.designite-tools.com/designitejava,"DesigniteJava supports detection of various architecture, design, and implementation smells along with computation of various code quality metrics.",java,Y,8521369,4074405,
DesignPatternDetector,https://github.com/Halleck45/DesignPatternDetector,Detection of design patterns in PHP code,php,N,4944859,9654777,
detekt,https://detekt.github.io/detekt/,Static code analysis for Kotlin code,kotlin,N,8875766,8219500,
DevSkim,https://github.com/Microsoft/DevSkim,"Inline, realtime security analysis. Works with multiple programming languages and IDEs (VS, VS Code, Sublime Text, ...).",ide,N,3293961,5073152,
dingo-hunter,https://github.com/nickng/dingo-hunter,Static analyser for finding deadlocks in Go,go,N,4147924,6812033,
Dlint,https://github.com/dlint-py/dlint,A tool for ensuring Python code is secure,python,N,4922755,982578,
Docker Label Inspector,https://github.com/garethr/docker-label-inspector,Lint and validate Dockerfile labels,container,N,9023966,1050913,
dogsled,https://github.com/alexkohler/dogsled,Finds assignments/declarations with too many blank identifiers,go,N,189947,3769707,
dotenv-linter,https://dotenv-linter.readthedocs.io/en/latest/,Linting dotenv files like a charm,configfile,N,5455725,6345695,
dupl,https://github.com/mibk/dupl,Reports potentially duplicated code,go,N,2659859,4519137,
EasyCodingStandard,https://www.tomasvotruba.com/blog/2017/05/03/combine-power-of-php-code-sniffer-and-php-cs-fixer-in-3-lines/,Combine [PHP_CodeSniffer](https://github.com/squizlabs/PHP_CodeSniffer) and [PHP-CS-Fixer](https://github.com/FriendsOfPHP/PHP-CS-Fixer).,php,N,6931110,9937551,
effective_dart,ttps://pub.dev/packages/effective_dar,Linter rules corresponding to the guidelines in Effective Dart,dart,N,8982391,4434086,
electrolysis,http://kha.github.io/electrolysis/,A tool for formally verifying Rust programs by transpiling them into definitions in the Lean theorem prover,rust,N,1152495,500482,
elm-analyse,https://stil4m.github.io/elm-analyse/,"A tool that allows you to analyse your Elm code, identify deficiencies and apply best practices.",elm,N,7120913,8542465,
elm-review,https://package.elm-lang.org/packages/jfmengels/elm-review/latest/,"Analyzes whole Elm projects, with a focus on shareable and custom rules written in Elm that add guarantees the Elm compiler doesn't give you.",elm,N,2190791,2037654,
elvis,https://github.com/inaka/elvis,Erlang Style Reviewer,erlang,N,2865146,2673450,
ember-template-lint,https://github.com/ember-template-lint/ember-template-lint,Linter for Ember or Handlebars templates,template,N,8433346,650293,
Embold,https://embold.io,"Intelligent software analytics platform that identifies design issues, code issues, duplication and metrics. Supports Java, C, C++, C#, JavaScript, TypeScript, Python, Go, Kotlin and more.","java, c, cpp, csharp, javascript, typescript, python, go, kotlin, service",Y,5844936,6194353,
errcheck,https://github.com/kisielk/errcheck,Check that error return values are used,go,N,1425610,972642,
Error-prone,https://errorprone.info/,Catch common Java mistakes as compile-time errors,java,N,6985939,6777479,
ESBMC,http://esbmc.org/,"ESBMC is an open source, permissively licensed, context-bounded model checker based on satisfiability modulo theories for the verification of single- and multi-threaded C/C++ programs.","c, cpp",N,4553420,4290038,
escomplex,https://github.com/jared-stilwell/escomplex,Software complexity analysis of JavaScript-family abstract syntax trees,javascript,N,3482501,4865226,
eslint,https://eslint.org/,A fully pluggable tool for identifying and reporting on patterns in JavaScript,javascript,N,2633644,8703277,
ESLint,https://github.com/typescript-eslint/typescript-eslint,An extensible linter for the TypeScript language,typescript,N,5663977,7301718,
Esprima,https://esprima.org/,ECMAScript parsing infrastructure for multipurpose analysis,javascript,N,164193,9533903,
exakat,https://www.exakat.io/,An automated code reviewing engine for PHP,"ci, php",N,4269862,2608120,
fb-contrib,http://fb-contrib.sourceforge.net/,A plugin for FindBugs with additional bug detectors,java,N,4556157,9505722,
Find Security Bugs,https://find-sec-bugs.github.io/,"The SpotBugs plugin for security audits of Java web applications and Android applications. (Also work with Kotlin, Groovy and Scala projects","groovy, java, kotlin, scala",N,2988535,8728313,
Fix Insight,https://www.tmssoftware.com/site/fixinsight.asp,A free IDE Plugin for static code analysis. A _Pro_ edition includes a command line tool for automation purposes,delphi,Y,3380661,5711770,
flake8,https://github.com/PyCQA/flake8,"A wrapper around `pyflakes`, `pycodestyle` and `mccabe`.","meta, python",N,4910777,5898366,
flawfinder,https://www.dwheeler.com/flawfinder/,Finds possible security weaknesses,"c, cpp",N,1888159,9903043,
flay,https://ruby.sadi.st/Flay.html,Flay analyzes code for structural similarities,ruby,N,5997807,4687660,
flen,https://github.com/lafolle/flen,Get info on length of functions in a Go package,go,N,6339346,4491944,
flint++,https://github.com/JossWhittle/FlintPlusPlus,"Cross-platform, zero-dependency port of flint, a lint program for C++ developed and used at Facebook.","c, cpp",N,6529667,6957399,
flog,https://ruby.sadi.st/Flog.html,"Flog reports the most tortured code in an easy to read pain report. The higher the score, the more pain the code is in.",ruby,N,3290400,2886236,
flow,https://flow.org/,A static type checker for JavaScript,javascript,N,3870871,5435932,
hegel,https://hegel.js.org/,A static type checker for JavaScript with a bias on type inference and strong type systems,javascript,N,7110206,6913844,
FlowDroid,https://github.com/secure-software-engineering/FlowDroid,Static taint analysis tool for Android applications,mobile,N,7367102,7623681,
foodcritic,http://www.foodcritic.io/,A lint tool that checks Chef cookbooks for common problems,configmanagement,N,3488065,8199293,
forbidden-apis,https://github.com/policeman-tools/forbidden-apis,Detects and forbids invocations of specific method/class/field (like reading from a text stream without a charset). Maven/Gradle/Ant compatible,java,N,3626945,7808576,
Fortify,https://software.microfocus.com/en-us/products/static-code-analysis-sast/overview,"A commercial static analysis platform that supports the scanning of C/C++, C#, VB.NET, VB6, ABAP/BSP, ActionScript, Apex, ASP.NET, Classic ASP, VB Script, Cobol, ColdFusion, HTML, Java, JS, JSP, MXML/Flex, Objective-C, PHP, PL/SQL, T-SQL, Python (2.6, 2.7), Ruby (1.9.3), Swift, Scala, VB, and XML.","abap, actionscript, apex, aspnet, c, cobol, coldfusion, cpp, csharp, html, java, javascript, jsp, objectivec, php, plsql, python, ruby, scala, swift, tsql, vbasic, vbnet, vbscript, xml, security",Y,8447735,4705142,
Frama-C,http://frama-c.com/,A sound and extensible static analyzer for C code,"c, cpp",N,5630146,6605724,
Frink,https://catless.ncl.ac.uk/Programs/Frink/,"A Tcl formatting and static check program (can prettify the program, minimise, obfuscate or just sanity check it).",tcl,N,5491693,7470908,
FSharpLint,http://fsprojects.github.io/FSharpLint/,Lint tool for F#.,fsharp,N,9060576,2342127,
gawk --lint,https://www.gnu.org/software/gawk/manual/html_node/Options.html,Warns about constructs that are dubious or nonportable to other awk implementations,awk,N,8033562,8223587,
Gendarme,https://www.mono-project.com/docs/tools+libraries/tools/gendarme/,Gendarme inspects programs and libraries that contain code in ECMA CIL format (Mono and .NET),csharp,N,88055,4650035,
gherkin-lint,https://github.com/vsiakka/gherkin-lint,A linter for the Gherkin-Syntax written in Javascript,gherkin,N,3555144,2444557,
Ghidra,https://ghidra-sre.org,A software reverse engineering (SRE) suite of tools developed by NSA's Research Directorate in support of the Cybersecurity missio,binary,N,3375950,8803706,
Gitleaks,ttps://github.com/zricethezav/gitleak,"A SAST tool for detecting hardcoded secrets like passwords, api keys, and tokens in git repos",security,N,5590163,3786592,
ShiftLeft Scan,https://slscan.io,Scan is a free open-source DevSecOps platform for detecting security issues in source code and dependencies. It supports a broad range of languages and CI/CD pipelines,"apex, shell, go, groovy, ide, java, jsp, json, kotlin, scala, container, nodejs, configmanagement, php, plsql, python, ruby, rust, vbasic, yaml",N,6691760,2645222,
Super-Linter,https://github.com/github/super-linter,Combination of multiple linters to install as a GitHub Action.,"coffeescript, container, go, javascript, json, markdown, perl, python, ruby, shell, configmanagement, typescript, xml, yaml",N,9474024,4314320,
gixy,https://github.com/yandex/gixy,A tool to analyze Nginx configuration. The main goal is to prevent misconfiguration and automate flaw detection,configfile,N,1429964,6324179,
Go Meta Linter,https://github.com/alecthomas/gometalinter,Concurrently run Go lint tools and normalise their output. Use `golangci-lint` for new projects.,"meta, go",N,8827921,8557318,
go tool vet --shadow,https://golang.org/cmd/vet/#hdr-Shadowed_variables,Reports variables that may have been unintentionally shadowed,go,N,8523991,2234033,
go vet,https://golang.org/cmd/vet/,Examines Go source code and reports suspicious,go,N,6228236,7992209,
go-consistent,https://github.com/Quasilyte/go-consistent,Analyzer that helps you to make your Go programs more consistent,go,N,2630895,4780682,
go-critic,https://github.com/go-critic/go-critic,Go source code linter that maintains checks which are currently not implemented in other linters,go,N,1401458,5864330,
go/ast,https://golang.org/pkg/go/ast/,Package ast declares the types used to represent syntax trees for Go packages,go,N,6651765,917194,
gochecknoglobals,https://github.com/leighmcculloch/gochecknoglobals,Checks that no globals are present,go,N,3022416,3277137,
goconst,https://github.com/jgautheron/goconst,Finds repeated strings that could be replaced by a constant,go,N,4576147,6971581,
gocyclo,https://github.com/fzipp/gocyclo,Calculate cyclomatic complexities of functions in Go source code,go,N,2747109,9249297,
gofmt -s,https://golang.org/cmd/gofmt/,Checks if the code is properly formatted and could not be further simplified,go,N,585389,3697633,
goimports,https://pkg.go.dev/golang.org/x/tools/cmd/goimports,Checks missing or unreferenced package imports,go,N,9674112,836782,
GolangCI-Lint,https://golangci-lint.run/,Alternative to `Go Meta Linter`: GolangCI-Lint is a linters aggregator.,go,N,2408784,2947038,
golint,https://github.com/golang/lint,Prints out coding style mistakes in Go source code,go,N,5174690,8058809,
Goodcheck,https://sider.github.io/goodcheck/,Regexp based customizable linter,"c, cpp, java, php",N,8865092,8035593,
goodpractice,http://mangothecat.github.io/goodpractice/,Analyses the source code for R packages and provides best-practice recommendations,r,N,9432805,5520606,
google-java-format,https://github.com/google/google-java-format,Google Style Reformat,java,N,3506555,6376977,
goreporter,https://github.com/360EntSecGroup-Skylar/goreporter,Concurrently runs many linters and normalises their output to a report,"meta, go",N,2958208,8065735,
goroutine-inspect,https://github.com/linuxerwang/goroutine-inspect,An interactive tool to analyze Golang goroutine dump,go,N,9698955,6366567,
gosec (gas),https://securego.io/,Inspects source code for security problems by scanning the Go AST,go,N,4075974,4154254,
gotype,https://pkg.go.dev/golang.org/x/tools/cmd/gotype,Syntactic and semantic analysis similar to the Go compiler,go,N,6956186,8754218,
GraphMyCSS.com,https://graphmycss.com,CSS Specificity Graph Generator,css,N,1957180,8588259,
graudit,http://www.justanotherhacker.com/,Grep rough audit - source code auditing tool.,"c, cpp, php, asp, csharp, java, perl, python, ruby",N,237375,2594342,
GrumPHP,https://github.com/phpro/grumphp,Checks code on every commit,php,N,5124505,278589,
grunt-bootlint,https://github.com/twbs/grunt-bootlint,"A Grunt wrapper for [Bootlint](https://github.com/twbs/bootlint), the HTML linter for Bootstrap projects",html,N,1233895,381370,
